eixo tematico,palavrachave 1,palavrachave 2,palavrachave 3,palavrachave 4,palavrachave 5
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,ensino,aprendizagem,aprendizagem invertida,sala de aula invertida,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,ensino superior,pratica pedagogica,ambiente virtual de aprendizagem,percepcao de professores,percepcao de estudantes
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic
covid19,sujeitos do campo,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,jogos digitais,wordwall,ensino e aprendizagem,percepcao docente,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,mediacao pedagogica,tecnologias da informacao e comunicacao,educacao inclusiva,sindemia,desenho universal para aprendizagem
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,ensino,docente,tdic,formacao,covid19
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,aprendizagem mediada,formacao de professore,letramento digital,,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,praticas pedagogicas,educacao basica,ensino remoto,residencia pedagogica,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,educacao a distancia,ensino remoto emergencial,plataforma moodle,formacao continuada de docentes,ensino superior
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,docencia,praticas pedagogicas,gestao da sala de aula,tecnologias digitais,ensino presencial
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,competencias,jornada,ambiente remoto,tecnologias,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic
pedagogia,epresentacoes sociais,curso online
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic
tecnologias de informacao e comunicacao  tics,contabilidade,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,tpack,formacao de professores de linguas,portugues como lingua adicional,,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,ensino remoto emergencial,planejamento didatico,desempenho academico,,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,teletrabalho,jornada de trabalho,idademidia,culturadigital,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,ensino remoto,tecnologia,professor,educacao basica,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,ensino remoto,avaliacao,pandemia,,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,docencia,educacao profissional e tecnologica,ensino superior,especializacao,comunidades de pratica
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic
ensino de linguas,,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic
calculadoras eletronicas,controversia controlada,tecnologias digitais de informacao e comunicacao
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,tecnologias digitais da informacao e comunicacao,professor,pandemia,,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,jogos digitais,educacao matematica,formacao de professores,relato de experiencia,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,parasitologia,materiais didaticos,instrumento de avaliacao,avaliacao de materiais didaticos online,ensino
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,docencia universitaria,inteligencia artificial,automacao,educacao,algoritimo
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,vulnerabilidades,escolas paulistas,desigualdades socioeconomicas,tecnologias,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,adolescencia,aprendizagem por projeto,jogo psicoeducativo,psicologia,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,ensino  remoto,internet,tecnologia,ferramentas do moodle,materiais didaticos digitais
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic
videoanalise,ensino de fisica,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,moodle,sequencia didatica,educacao mediada por tecnologias digitais,educacao a distancia,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,sequencia didatica,tecnologias digitais da informacao e comunicacao,ensino de ciencias,licenciatura,pandemia
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,audiovisual,educacao,tecnologia,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic
educacao matematica,representatividade,tecnologia
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,tecnologia,atendimento educacional especializado aee,sala de recurso multifuncional,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,ensino,aprendizagem,tecnologias digitais,atlas,quimica
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic
redes sociais,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic
metaavaliacao,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic
whatsapp,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,blog,educacao hibrida,estrategia didatica,mediacao,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,design,qualificacao profissional,educacao ambienta,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,educacao,tecnologia,competencias midiaticas e em informacao,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,tecnologias de informacao e comunicacao,formacao continuada,recursos educacionais,ferramentas digitais,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,evasao no ensino superior,aprendizagem,plataforma moodle,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,educacao superior,aprendizagem ativa,cultura maker,podcast,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,anormalidades craniofaciais,curadoria de dados,rede social,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,gamificacao,metodologias de ensino,jogo,ciencias ambientais,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,ensino de quimica,material  didatico digital,jogo eletronico,lixo toxico,tabela periodica
